State,Population
AL,4872725
AK,746079
AZ,7044577
AR,2998643
CA,39506094
CO,5632271
CT,3568174
DE,960054
DC,691963
FL,20979964
GA,10421344
HI,1431957
ID,1713452
IL,12764031
IN,6653338
IA,3147389
KS,2907857
KY,4449337
LA,4694372
ME,1333505
MD,6037911
MA,6839318
MI,9938885
MN,5557469
MS,2988062
MO,6109796
MT,1052967
NE,1920467
NV,2996358
NH,1339479
NJ,8953517
NM,2081702
NY,19743395
NC,10258390
ND,759069
OH,11623656
OK,3939708
OR,4162296
PA,12776550
RI,1057245
SC,5027404
SD,872989
TN,6707332
TX,28295553
UT,3111802
VT,623100
VA,8456029
WA,7415710
WV,1821151
WI,5789525
WY,584447